is_std,ftd_price,min_level,avg_win_stddevsamp,max_win_stddevsamp,min_win_stddevsamp,num_days_ooc_rate,sum_total_ooc_rate,mailbox_wb_rate,mailbox_vault_key_chips_rate,mailbox_vault_coins_rate,spins_completed_rate,avg_wager,avg_rtp,max_rtp,min_rtp,avg_spins_left_in_bankroll,max_spins_left_in_bankroll,min_spins_left_in_bankroll,avg_daily_bonus_amount,max_daily_bonus_amount,min_daily_bonus_amount,we_completed_rate,vault_tier_up_rate,vault_tier_dropdown_rate,wildball_silver_rate,wildball_gold_rate,wildball_ruby_rate,wildball_emerald_rate,wildball_specia_diamond_rate,vv_completed_rate
0,4.99,93,1.34,2.50,0.56,1.00,0.33,0.00,0.00,0.00,53,594335,0.32,0.36,0.25,0,0,0,1083333,1300000,950000,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,122,0.72,1.27,0.00,0.80,0.60,0.00,0.20,0.20,32,2001761,0.37,0.72,0.00,0,1,0,1887500,2900000,1200000,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,2.99,77,1.26,1.42,1.16,0.75,3.75,0.00,0.00,0.25,40,249765,0.48,0.51,0.41,0,0,0,900000,950000,850000,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00
1,2.99,97,1.59,2.49,0.70,0.67,1.00,0.00,0.00,0.00,54,577765,0.54,0.82,0.27,2,5,0,1500000,1700000,1300000,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00
1,9.99,65,4.17,4.17,4.17,0.00,0.00,0.00,0.00,0.00,23,1000050,0.81,0.81,0.81,119,119,119,1000000,1000000,1000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,80,1.32,2.78,0.38,1.00,0.33,0.00,0.00,0.00,54,724671,0.37,0.60,0.17,0,0,0,1400000,1750000,1100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,34,0.41,0.90,0.00,0.67,3.00,0.00,0.00,0.00,54,468668,0.14,0.23,0.00,2,5,0,1300000,2000000,950000,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00
0,9.99,68,0.62,1.15,0.10,0.67,9.67,0.00,0.00,0.00,54,883567,0.19,0.33,0.05,0,0,0,1125000,1300000,950000,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,110,0.82,1.92,0.00,1.00,1.88,0.13,0.00,0.50,20,1330742,0.35,0.66,0.00,1,2,0,1306250,4000000,700000,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,4.99,112,0.87,1.27,0.53,0.00,0.00,0.00,0.00,0.20,32,1873044,0.40,0.58,0.30,30,62,13,1216666,1350000,950000,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,36,1.68,2.95,0.27,0.50,0.75,0.00,0.00,0.00,41,990868,0.36,0.65,0.08,20,41,0,975000,1100000,850000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,2.99,76,1.02,2.63,0.00,0.67,0.67,0.17,0.00,0.17,27,693007,0.34,0.65,0.00,0,0,0,1150000,1350000,900000,0.00,0.17,0.00,0.00,1.00,0.00,0.00,0.00,0.00
