is_std,ftd_price,max_win_multiplier,avg_total_wins,avg_wager,wildball_silver_rate,wildball_specia_diamond_rate,num_days_ooc_per_day,sum_total_ooc_per_day,avg_win_multiplier,min_win_multiplier,avg_rtp,max_rtp,min_rtp,avg_spins_left_in_bankroll,max_spins_left_in_bankroll,min_spins_left_in_bankroll,we_completed_rate,vault_tier_up_rate,vault_tier_dropdown_rate,wildball_gold_rate,wildball_emerald_ruby_rate,vv_completed_rate,,,,
1,9.99,134.67,0.34,143021.32,0.17,0.83,0.4,0.2,90.68,32.83,0.81,1.15,0.51,290,893,1,0,0.2,0,0,0,0.2,,,,
0,9.99,144.5,0.39,556168.29,0.38,0.44,0.5,6.75,55.31,1.5,0.86,1.58,0.17,85,305,0,0.33,0.13,0.13,0.09,0.09,0.5,,,,
1,9.99,141.6,0.34,481227.91,0.04,0.8,1,1.67,71.4,0.6,0.55,0.89,0.1,18,35,1,0,0,0,0.04,0.12,0.67,,,,
0,4.99,68,0.37,1547201.85,0.5,0,1,5,62.24,54.93,0.86,1.08,0.61,50,100,0,0,0.33,0.33,0.5,0,0,,,,
0,4.99,41.07,0.45,287360.57,0,0,0.33,2,41.07,41.07,0.8,0.8,0.8,30,30,30,0,0,0,0,0,0.33,,,,
0,2.99,122.6,0.37,54337,0.2,0.2,0.67,50,61.66,21.18,0.93,1.56,0.54,30,61,0,0,0,0,0.2,0.4,0,,,,
0,4.99,53.33,0.39,1462460.87,0.4,0.2,0.33,0.33,27.82,14.14,0.87,1.05,0.55,46,65,29,0,0,0,0.2,0.2,0,,,,
0,4.99,70.17,0.32,502343.37,0,0,0,0,70.17,70.17,0.53,0.53,0.53,38,38,38,0,0,0,1,0,0,,,,
0,4.99,125.8,0.26,122036.72,1,0,0.8,1.6,58.04,0.4,0.58,0.87,0.08,21,43,0,0,0,0,0,0,0,,,,
1,4.99,59,0.38,68229.4,0.5,0,0.67,1.67,35.88,12.36,0.72,0.87,0.6,20,38,2,0,0,0,0.5,0,0.33,,,,
0,4.99,2508.06,0.67,3948039.09,0.36,0.09,0,0,372.28,10,45.88,358.69,0.62,840,2653,70,1,0.25,0.13,0.45,0.09,0.75,,,,
1,4.99,171.33,0.24,129031.45,0.59,0,1,111.5,104.6,43.27,0.67,1.01,0.37,32,84,0,0,0.33,0,0.41,0,0.33,,,,
1,9.99,66,0.49,630758.42,0.43,0,1,56.33,51.88,34.38,0.77,0.89,0.56,34,90,0,0.5,0,0,0.57,0,1,,,,
1,4.99,34.87,0.38,508589.49,0.75,0.25,0.33,0.67,21.87,5.75,0.78,1.06,0.47,42,55,32,0,0,0,0,0,0.33,,,,
1,4.99,170.2,0.38,395477.41,0.54,0,0.83,28.17,61.49,0.27,0.59,1.05,0.26,34,130,0,0,0.33,0,0.46,0,0.67,,,,
0,9.99,69.67,0.35,1528028.08,0.5,0,0.67,0.67,41.3,0.13,0.73,1.2,0.09,36,72,0,0,0.33,0,0.5,0,0.33,,,,
1,4.99,221.91,0.31,123736.14,0.5,0,1,40,133.31,85.68,0.71,0.91,0.54,17,34,0,0,0.67,0,0.42,0.08,0.67,,,,
0,4.99,167.53,0.32,837896.21,0.4,0,1,5,74.42,2.6,0.61,0.8,0.25,0,0,0,0,0,0,0.6,0,0.33,,,,
0,4.99,415,0.36,2935328,0.57,0,0.38,0.13,86.32,2.67,0.74,1.28,0.15,107,430,0,0.5,0.25,0,0.39,0.04,0.88,,,,
