is_std,ftd_price,num_days_ooc_per_day,sum_total_ooc_per_day,avg_win_multiplier,max_win_multiplier,min_win_multiplier,avg_total_wins,avg_wager,avg_rtp,max_rtp,min_rtp,avg_spins_left_in_bankroll,max_spins_left_in_bankroll,min_spins_left_in_bankroll,we_completed_rate,vault_tier_up_rate,vault_tier_dropdown_rate,wildball_silver_rate,wildball_gold_rate,wildball_emerald_ruby_rate,wildball_specia_diamond_rate,vv_completed_rate
1,4.99,0.67,1.67,35.88,59,12.36,0.38,68229.4,0.72,0.87,0.6,20,38,2,0,0,0,0.5,0.5,0,0,0.33
0,4.99,0,0,372.28,2508.06,10,0.67,3948039.09,45.88,358.69,0.62,840,2653,70,1,0.25,0.13,0.36,0.45,0.09,0.09,0.75
1,4.99,1,111.5,104.6,171.33,43.27,0.24,129031.45,0.67,1.01,0.37,32,84,0,0,0.33,0,0.59,0.41,0,0,0.33
1,9.99,1,56.33,51.88,66,34.38,0.49,630758.42,0.77,0.89,0.56,34,90,0,0.5,0,0,0.43,0.57,0,0,1
1,4.99,0.33,0.67,21.87,34.87,5.75,0.38,508589.49,0.78,1.06,0.47,42,55,32,0,0,0,0.75,0,0,0.25,0.33
1,4.99,0.83,28.17,61.49,170.2,0.27,0.38,395477.41,0.59,1.05,0.26,34,130,0,0,0.33,0,0.54,0.46,0,0,0.67
0,9.99,0.67,0.67,41.3,69.67,0.13,0.35,1528028.08,0.73,1.2,0.09,36,72,0,0,0.33,0,0.5,0.5,0,0,0.33
1,4.99,1,40,133.31,221.91,85.68,0.31,123736.14,0.71,0.91,0.54,17,34,0,0,0.67,0,0.5,0.42,0.08,0,0.67
0,4.99,1,5,74.42,167.53,2.6,0.32,837896.21,0.61,0.8,0.25,0,0,0,0,0,0,0.4,0.6,0,0,0.33
0,4.99,0.38,0.13,86.32,415,2.67,0.36,2935328,0.74,1.28,0.15,107,430,0,0.5,0.25,0,0.57,0.39,0.04,0,0.88
1,4.99,1,7.2,23.39,107,0.27,0.36,476453.51,0.35,0.81,0.04,0,0,0,1,0.2,0.2,0.4,0.4,0.2,0,0.2
0,4.99,1,39.13,42.26,73.27,1.2,0.37,337131.13,0.77,1.35,0.08,76,232,0,0,0,0,0.38,0.46,0.16,0,0.75
0,4.99,0.14,0.43,55.7,110,32,0.37,403991.19,0.96,1.34,0.51,153,265,80,0,0.29,0.14,0.54,0.38,0.08,0,0.29
0,9.99,0.5,0.17,27.68,44,2.8,0.33,1298137.34,0.48,0.8,0.28,17,54,1,0,0,0.17,0.33,0.67,0,0,0.5
0,4.99,1,12.17,29.33,68.67,0.67,0.33,126596.37,0.58,0.88,0.05,7,27,0,0,0,0,0.11,0.67,0,0.22,0
1,4.99,1,40.33,60.07,92.05,10.1,0.35,262389.55,0.75,0.94,0.59,1,3,0,1,0.33,0,0.38,0.48,0.1,0.05,0.83
0,4.99,0.75,29.63,78.2,144.75,40.91,0.36,205174.5,0.77,0.9,0.66,18,43,0,0,0.25,0.13,0.43,0.35,0.08,0.13,0.5
1,4.99,1,1.67,19.51,52,2.4,0.34,259166.09,0.54,0.89,0.24,2,6,0,0,0.33,0.17,0.33,0,0.17,0.5,0.33
0,4.99,0.67,11,19.52,33.27,5,0.33,286759.1,0.57,0.72,0.36,0,1,0,0,0,0,0,0,0,1,0
0,4.99,0.33,0.67,42.28,98.27,5.68,0.27,291475.27,0.88,1.54,0.24,380,1371,0,0,0,0,0,1,0,0,0
0,4.99,1,534.63,99.32,215.45,27,0.4,573661.36,0.85,0.98,0.55,170,435,0,0.75,0,0,0.43,0.22,0.09,0.27,1
0,4.99,0.5,0.25,68.86,187,11.02,0.37,2056283.33,1.35,2.7,0.65,397,955,0,0,0.5,0,0.2,0.6,0.2,0,0
1,4.99,0.75,0.25,42.83,106.56,11,0.39,238298.05,0.71,0.86,0.62,16,32,0,0,0,0.25,1,0,0,0,0
0,4.99,0.38,0.13,94.86,209,10.23,0.34,5677334.75,0.94,1.71,0.41,377,1366,4,0,0.13,0,0.27,0.36,0.27,0.09,0.13
0,4.99,0,0,25.25,47.17,7.67,0.5,747856.49,0.87,1.36,0.57,365,573,200,0,0,0,0,1,0,0,0
1,4.99,1,17.83,63.85,119.33,18.55,0.45,57300.05,0.78,0.92,0.7,4,13,0,0,0.17,0.17,0.18,0.57,0.18,0.07,0.5
1,4.99,0.67,2.33,31.67,45.24,5.08,0.41,800293.12,0.72,0.87,0.45,24,49,1,0,0.33,0,0.5,0,0,0.5,1
0,2.99,0.13,0.63,62.29,210,18.75,0.44,129276.46,0.88,1.41,0.61,255,660,121,0.67,0.13,0.13,0.39,0.56,0.06,0,0.38
0,4.99,0.75,92.63,36.57,106.62,10,0.39,154875.34,0.63,0.79,0.52,9,19,0,0,0.13,0.13,0.29,0.36,0.29,0.07,0.5
0,4.99,0.33,0.5,39.84,105.42,5,0.44,805633.55,0.64,0.82,0.33,7,15,0,0,0,0.17,0,0,0,1,0.17
0,4.99,0.86,21.57,36.37,67.8,1.7,0.49,1353011.05,1.02,2.76,0.62,18,42,0,0.33,0.14,0.14,0.46,0.31,0.23,0,0.43
0,4.99,1,1,39.57,71.53,23.59,0.37,539268.16,0.73,0.9,0.54,0,1,0,0,0,0,0,1,0,0,0
1,4.99,0.5,1,21.18,63.87,2.4,0.4,171085.42,0.51,0.7,0.3,13,20,8,0,0,0.25,0,0.5,0.5,0,0
